"time","bottom_temp","sst","sss","zeta","dist_shore_km","dist_OC_km","dist_200m_km","dist_MO_km","dist_RTWB_km","dist_NB_km","depth_m"
2015-03-28,6.55738878250122,6.54099035263062,33.6488265991211,-0.206442460417747,48.7,50.2,55.9,22.4,12.2,23.9,34
2015-03-29,6.43079137802124,5.87763214111328,33.4473838806152,-0.256845265626907,48.7,50.2,55.9,22.4,12.2,23.9,34
2015-03-30,5.06126356124878,5.00164651870728,33.5107345581055,-0.2051672488451,48.7,50.2,55.9,22.4,12.2,23.9,34
2015-03-31,5.69018888473511,4.72346115112305,33.2933464050293,-0.179763272404671,48.7,50.2,55.9,22.4,12.2,23.9,34
2015-04-01,6.00529623031616,4.93083620071411,33.2423629760742,-0.234542772173882,48.7,50.2,55.9,22.4,12.2,23.9,34
2015-04-02,5.55458974838257,5.31871461868286,33.2536582946777,-0.298674374818802,48.7,50.2,55.9,22.4,12.2,23.9,34
2015-04-03,6.18984651565552,5.55793046951294,33.1269683837891,-0.267048388719559,48.7,50.2,55.9,22.4,12.2,23.9,34
2015-04-04,7.01274728775024,5.94794988632202,32.414852142334,-0.316893756389618,48.7,50.2,55.9,22.4,12.2,23.9,34
2015-04-05,7.18804931640625,6.38498735427856,32.5583000183105,-0.433763474225998,48.7,50.2,55.9,22.4,12.2,23.9,34
2015-04-06,7.29896974563599,6.71989822387695,32.5378074645996,-0.395141512155533,48.7,50.2,55.9,22.4,12.2,23.9,34
2015-04-07,7.51968574523926,7.1572151184082,32.493293762207,-0.311672687530518,48.7,50.2,55.9,22.4,12.2,23.9,34
2015-04-08,7.98428392410278,7.51668119430542,32.4090881347656,-0.215304926037788,48.7,50.2,55.9,22.4,12.2,23.9,34
2015-04-09,7.16353607177734,7.80411720275879,32.0435104370117,-0.152160167694092,48.7,50.2,55.9,22.4,12.2,23.9,34
2015-04-10,6.41694974899292,8.12174415588379,32.1097297668457,-0.0874448418617249,48.7,50.2,55.9,22.4,12.2,23.9,34
