Date,Site,sst,bottom_temp,sss,stratification,phase,daylight_hours,year,month,site,device_type,days_monitored,days_present,percent_occurrence,period,dist_200m_km
6/1/23,RTWB,18.59556764,13.96292645,31.38865871,0.12191161,0.497271693,14.78488889,2023,Jun,RTWB,RealTime,30,0,0,2,67.9
6/1/23,T2M,18.26805159,11.61594006,31.93929895,0.184780876,0.497271693,14.78488889,2023,Jun,T2M,Archival,30,0,0,2,55.9
7/1/23,A2M,24.6528185,16.21547727,30.65909687,0.351555885,0.481414033,14.54163978,2023,Jul,A2M,Archival,31,0,0,2,83.3
7/1/23,A7M,25.12185078,13.53872794,30.92758468,0.330946129,0.481414033,14.53482079,2023,Jul,A7M,Archival,31,0,0,2,67.9
7/1/23,RTWB,25.12185078,13.53872794,30.92758468,0.304819022,0.481414033,14.53484767,2023,Jul,RTWB,RealTime,31,0,0,2,67.9
7/1/23,T2M,25.40176256,11.76461386,31.06712963,0.378809686,0.481414033,14.53489247,2023,Jul,T2M,Archival,31,0,0,2,55.9
8/1/23,A2M,23.51913292,17.13035528,31.19034453,0.266199068,0.502754427,13.63223118,2023,Aug,A2M,Archival,31,0,0,2,83.3
8/1/23,A7M,24.22341101,15.70409092,31.59904898,0.24340871,0.502754427,13.62808244,2023,Aug,A7M,Archival,31,0,0,2,67.9
8/1/23,RTWB,24.22341101,15.70409092,31.59904898,0.224192634,0.502754427,13.62808244,2023,Aug,RTWB,RealTime,31,0,0,2,67.9
8/1/23,T2M,24.87798451,14.91774931,31.57112774,0.2766732,0.502754427,13.6280914,2023,Aug,T2M,Archival,31,0,0,2,55.9
9/1/23,A2M,23.19315135,21.32962799,31.21399848,0.077646807,0.488502298,12.44690741,2023,Sep,A2M,Archival,30,0,0,2,83.3
9/1/23,A7M,23.10244885,18.62860184,31.49276574,0.127823333,0.488502298,12.44596296,2023,Sep,A7M,Archival,30,0,0,2,67.9
9/1/23,RTWB,23.10244885,18.62860184,31.49276574,0.117732816,0.488502298,12.44597222,2023,Sep,RTWB,RealTime,30,0,0,2,67.9
9/1/23,T2M,23.11859932,16.49087219,31.76969369,0.184103531,0.488502298,12.44598148,2023,Sep,T2M,Archival,30,0,0,2,55.9
10/1/23,A2M,18.78335061,18.62309751,31.10089216,0.006677213,0.507376025,11.20861111,2023,Oct,A2M,Archival,31,0,0,2,83.3
